0,1,2,3,4,5,6
127,"马克思主义/思想
政治教育",生成式AI驱动高校党建精准—场景—智能协同转型研究,规划基金项目,25YJA710039,商丹,武汉理工大学
128,"马克思主义/思想
政治教育","数智时代下高校思政教育对大学生价值观塑造的创新研
究",青年基金项目,25YJC710059,王越,武汉轻工大学
129,"马克思主义/思想
政治教育",《资本论》社会正义思想及其当代价值研究,规划基金项目,25YJA710065,张全胜,西安财经大学
130,"马克思主义/思想
政治教育",思政引领力的生成机制及提升路径研究,青年基金项目,25YJC710023,李琰,西安电子科技大学
131,"马克思主义/思想
政治教育",法治文化赋能乡风文明建设的理论逻辑与实践路径研究,青年基金项目,25YJC710078,冶刚,西安医学院
132,"马克思主义/思想
政治教育",革命文物赋能新时代高校思想政治教育研究,规划基金项目,25YJA710034,鲁杰,西北工业大学
133,"马克思主义/思想
政治教育",新时代大学生精神富有评价指标体系构建研究,规划基金项目,25YJA710043,隋牧蓉,西北农林科技大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
134,"马克思主义/思想
政治教育",中国特色耐心资本发展壮大的理论与实践研究,青年基金项目,25YJC710008,邓育苗,西南财经大学
135,"马克思主义/思想
政治教育","藏彝走廊民族互嵌社区节庆仪式铸牢中华民族共同体意
识的路径研究",青年基金项目,25YJC710017,黄佐毅,西南财经大学
136,"马克思主义/思想
政治教育",新时代共同富裕目标下城乡融合发展体制机制研究,青年基金项目,25YJC710051,唐教成,西南财经大学
137,"马克思主义/思想
政治教育",数字经济时代马克思生产劳动理论再研究,青年基金项目,25YJC710057,王珊,西南交通大学
138,"马克思主义/思想
政治教育",Z世代红色文化场景化传播的价值引导路径研究,规划基金项目,25YJA710025,李田伟,西南林业大学
139,"马克思主义/思想
政治教育",数智时代高校思政课教师新质素养提升研究,规划基金项目,25YJA710052,王玺,西南石油大学
140,"马克思主义/思想
政治教育","红色文化资源数字化赋能高校思想政治教育的作用机理
与实践路径研究",规划基金项目,25YJA710006,陈士勇,西南医科大学
141,"马克思主义/思想
政治教育","老龄化背景下农村互助养老观念培育机制与实践策略研
究",青年基金项目,25YJC710060,韦晰玄,咸阳职业技术学院
142,"马克思主义/思想
政治教育",数智时代高校思政教育主体性风险及其治理研究,青年基金项目,25YJC710037,罗宁子,湘潭大学
143,"马克思主义/思想
政治教育",以数字记忆赋能新疆构筑中华民族共有精神家园研究,青年基金项目,25YJC710021,李莉莉,新疆财经大学
144,"马克思主义/思想
政治教育","基于创新型人才培养的高职院校“大思政课”实践育人
体系建设研究",规划基金项目,25YJA710029,刘巧芝,"新疆石河子职业技术
学院"
145,"马克思主义/思想
政治教育",大运河沿线红色资源赋能高校思政课吸引力提升研究,规划基金项目,25YJA710038,钱俊,"扬州工业职业技术学
院"
146,"马克思主义/思想
政治教育",《群书治要》德育思想系统挖掘及当代价值研究,规划基金项目,25YJA710005,陈善江,云南大学
147,"马克思主义/思想
政治教育","抗战时期中国共产党青年情感动员的历史策略及当代启
示研究",青年基金项目,25YJC710035,卢慧,长安大学
148,"马克思主义/思想
政治教育","生成式人工智能对高校意识形态风险挑战及应对策略研
究",规划基金项目,25YJA710010,范琳琳,长春大学旅游学院
149,"马克思主义/思想
政治教育",网络“圈层化”视域下思想政治教育话语生产力研究,青年基金项目,25YJC710041,孟婷,长春工业大学
150,"马克思主义/思想
政治教育","教育家精神驱动的高校思政课教师职业自觉养成机制及
群体画像动态重塑研究",青年基金项目,25YJC710003,陈晶晶,长沙师范学院
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
151,"马克思主义/思想
政治教育","高水平社会主义市场经济体制下规范和引导数字资本健
康发展研究",规划基金项目,25YJA710031,刘希良,长沙学院
152,"马克思主义/思想
政治教育","人工智能背景下湖湘红色文化基因谱系构建与活态化再
生研究",规划基金项目,25YJA710076,周舟,长沙学院
153,"马克思主义/思想
政治教育","延安时期中国共产党自我革命的制度创新与政党韧性生
成机制研究",青年基金项目,25YJC710025,李永杰,长沙学院
154,"马克思主义/思想
政治教育","中华优秀传统文化同中国共产党人精神谱系双向互动的
机理与路径研究",青年基金项目,25YJC710063,吴国龙,长沙学院
155,"马克思主义/思想
政治教育","大学生劳动价值观“知行转化”的运行要素与提升机制
研究",青年基金项目,25YJC710002,陈辉,浙大宁波理工学院
156,"马克思主义/思想
政治教育","算法推荐下大学生数字情感茧房的形成机制及引导策略
研究",青年基金项目,25YJC710045,任紫君,浙大宁波理工学院
157,"马克思主义/思想
政治教育",当代青年文化主体性生成机制及推进路径研究,青年基金项目,25YJC710080,于洋,浙江大学
158,"马克思主义/思想
政治教育",新时代全面深化改革的基础和条件研究,规划基金项目,25YJA710066,张万杰,浙江工商大学
159,"马克思主义/思想
政治教育","全媒体时代习近平生态文明思想大众化传播的场域构建
、效果测度和深化路径研究",规划基金项目,25YJA710018,胡小爱,"浙江经贸职业技术学
院"
160,"马克思主义/思想
政治教育",中国共产党自我革命话语百年演进与经验启示研究,规划基金项目,25YJA710077,朱前星,浙江师范大学
161,"马克思主义/思想
政治教育",马克思早期思想发展中的“自我意识”问题研究,规划基金项目,25YJA710036,潘中伟,郑州大学
162,"马克思主义/思想
政治教育",党员干部党章阅读史研究（1921-1949）,青年基金项目,25YJC710053,田向勇,郑州大学
163,"马克思主义/思想
政治教育",数智化背景下国家认同教育空间的重构与整合研究,青年基金项目,25YJC710091,赵颖,郑州大学
164,"马克思主义/思想
政治教育","马克思机器观视域下人工智能的人学审视与实践指向研
究",青年基金项目,25YJC710089,张子玥,中国海洋大学
165,"马克思主义/思想
政治教育","拉康话语理论视域下帝国主义叙事话语的演变与批判研
究",青年基金项目,25YJC710005,陈宇,中国矿业大学
166,"马克思主义/思想
政治教育",新时代基层党建引领乡村产业振兴研究,规划基金项目,25YJA710044,孙乔婧,中国农业大学
167,"马克思主义/思想
政治教育",数字帝国主义的政治经济学批判与中国应对研究,青年基金项目,25YJC710034,刘晓晓,"中国石油大学（北
京）"
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
168,"马克思主义/思想
政治教育","2008年以来国外左翼学者对中国式现代化评价的变化趋
势研究",青年基金项目,25YJC710085,张媔,中国消防救援学院
169,"马克思主义/思想
政治教育",数字化转型驱动下大学生总体国家安全观培育机制研究,青年基金项目,25YJC710065,吴芍炎,中南大学
170,"马克思主义/思想
政治教育","列宁经济思想在中国的早期传播及运用研究（1919-
1927）",规划基金项目,25YJA710024,李天华,中南民族大学
171,"马克思主义/思想
政治教育","以中华文明标识铸牢中华民族共同体意识的理论逻辑与
实践路径研究",青年基金项目,25YJC710004,陈文婷,中南民族大学
172,"马克思主义/思想
政治教育","党的自我革命理论对马克思主义党建学说的守正创新研
究",青年基金项目,25YJC710013,韩笑,中央美术学院
173,"马克思主义/思想
政治教育",人工智能促进高校思想政治教育数字化的机制研究,青年基金项目,25YJC710044,任苗苗,重庆三峡学院
174,"马克思主义/思想
政治教育","情感认同视域下中国共产党执政话语亲和力提升路径研
究",规划基金项目,25YJA710023,李娟,重庆医科大学
175,"马克思主义/思想
政治教育","中国式现代化进程中大学生生态文明教育路径与机制研
究",规划基金项目,25YJA710003,陈俊,遵义医科大学
176,"马克思主义/思想
政治教育",长征沿线红军标语收集整理及活化利用研究,规划基金项目,25YJA710004,陈仁秀,遵义医科大学
177,哲学,茶的审美文化生成研究：以唐宋时期为中心,规划基金项目,25YJA720002,方国武,安徽农业大学
178,哲学,恽寿平艺术美学及现代价值研究,青年基金项目,25YJC720013,袁俊伟,安徽农业大学
179,哲学,亚里士多德质形论思想研究,规划基金项目,25YJA720011,王纬,复旦大学
180,哲学,中西比较视域下的孟子伦理思想诠释研究,青年基金项目,25YJC720001,"Hu Xiang
Nong",复旦大学
181,哲学,《周易》经学对两汉政治的制度化建构研究,青年基金项目,25YJC720006,孙艮陶,河南大学
182,哲学,《易传》对石涛《画语录》美学思想的影响,自筹经费项目,25YJE720001,刘兴胜,菏泽学院
183,哲学,阿尔都塞学派的斯宾诺莎研究,规划基金项目,25YJA720004,李金辉,黑龙江大学
184,哲学,京都学派左翼哲学家中井正一美学文献的翻译与研究,青年基金项目,25YJC720014,张旎,湖北文理学院
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
185,哲学,先秦汉初黄老道家的“圣人观”研究,青年基金项目,25YJC720008,王淏,华北水利水电大学
186,哲学,命题态度的感受性质问题研究,规划基金项目,25YJA720014,张钰,华中师范大学
187,哲学,宋元《周易参同契》注本中的身体观研究,青年基金项目,25YJC720009,魏耀武,江南大学
